,#,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
166,167,Iceland,"11,839",,33,,"11,447",,359,1,"34,415",96,"1,062,152","3,087,579","344,008"
167,168,Channel Islands,"11,657",,97,,"11,225",,335,,"66,285",552,"911,340","5,182,102","175,863"
168,169,Saint Lucia,"11,573",,207,,"9,775",,"1,591",15,"62,667","1,121","80,330","434,980","184,675"
169,170,CAR,"11,371",,100,,"6,859",,"4,412",2,"2,304",20,"60,228","12,206","4,934,455"
170,171,Gambia,"9,935",,338,,"9,588",,9,3,"3,972",135,"102,510","40,985","2,501,153"
171,172,Yemen,"9,139",+28,"1,734",+5,"5,659",+8,"1,746",23,298,57,"265,253","8,656","30,644,252"
172,173,Barbados,"8,609",,78,,"7,451",,"1,080",,"29,912",271,"320,277","1,112,788","287,815"
173,174,New Caledonia,"7,932",+313,142,+13,56,,"7,734",55,"27,454",491,"42,756","147,984","288,924"
174,175,Isle of Man,"7,634",+23,52,,"7,217",,365,1,"89,187",608,"123,937","1,447,947","85,595"
175,176,Brunei,"7,568",+242,55,+5,"5,192",+149,"2,321",30,"17,095",124,"364,939","824,333","442,708"
176,177,Eritrea,"6,722",,42,,"6,638",,42,,"1,863",12,"23,693","6,567","3,607,647"
177,178,Sierra Leone,"6,394",,121,,"4,390",,"1,883",,782,15,"160,729","19,651","8,179,116"
178,179,Guinea-Bissau,"6,110",,135,,"5,329",,646,4,"3,016",67,"98,330","48,536","2,025,926"
179,180,Niger,"6,025",,203,,"5,769",,53,,238,8,"157,540","6,228","25,295,508"
180,181,Liberia,"5,799",,286,,"5,458",,55,2,"1,114",55,"128,246","24,636","5,205,724"
181,182,Gibraltar,"5,566",+10,97,,"5,386",+7,83,2,"165,271","2,880","363,191","10,784,221","33,678"
182,183,San Marino,"5,428",,91,,"5,310",,27,2,"159,553","2,675","79,097","2,325,015","34,020"
183,184,Bermuda,"5,244",,72,,"3,719",,"1,453",1,"84,594","1,161","541,307","8,732,166","61,990"
184,185,Grenada,"5,236",+41,150,+9,"4,091",+288,995,,"46,265","1,325","70,382","621,892","113,174"
185,186,Chad,"5,042",,174,,"4,857",,11,,296,10,"146,898","8,635","17,012,329"
186,187,New Zealand,"4,319",+28,27,,"4,053",+64,239,5,863,5,"3,419,544","683,622","5,002,100"
187,188,Sint Maarten,"4,307",+16,66,,"4,081",+41,160,10,"99,050","1,518","41,509","954,603","43,483"
188,189,Comoros,"4,147",,147,,"3,966",+3,34,,"4,646",165,,,"892,679"
189,190,Saint Martin,"3,748",,55,,"1,399",,"2,294",7,"94,915","1,393","54,303","1,375,177","39,488"
190,191,Dominica,"3,602",+47,21,,"3,006",+11,575,,"49,883",291,"74,644","1,033,722","72,209"
191,192,St. Vincent Grenadines,"3,563",,26,,"2,444",,"1,093",2,"31,990",233,"77,176","692,907","111,380"
192,193,Sao Tome and Principe,"3,531",+27,52,+1,"2,800",+19,679,,"15,747",232,"14,689","65,508","224,232"
193,194,Liechtenstein,"3,449",+1,60,,"3,368",,21,2,"90,135","1,568","49,126","1,283,836","38,265"
194,195,Antigua and Barbuda,"3,336",,81,,"2,233",,"1,022",9,"33,717",819,"17,674","178,632","98,941"
195,196,Monaco,"3,314",,33,,"3,254",,27,2,"83,710",834,"54,960","1,388,264","39,589"
196,197,Turks and Caicos,"2,859",+5,23,,"2,780",+1,56,1,"72,619",584,"94,789","2,407,645","39,370"
197,198,British Virgin Islands,"2,642",,37,,"2,555",,50,7,"86,674","1,214","79,575","2,610,557","30,482"
198,199,Bhutan,"2,601",,3,,"2,594",,4,,"3,325",4,"1,154,543","1,475,999","782,211"
199,200,Caribbean Netherlands,"2,116",,19,,"1,967",,130,,"79,768",716,"23,069","869,642","26,527"
200,201,Saint Kitts and Nevis,"1,965",,13,,"1,000",,952,1,"36,613",242,"42,068","783,842","53,669"
201,202,St. Barth,"1,578",,4,,462,,"1,112",,"159,153",403,"38,369","3,869,793","9,915"
202,203,Faeroe Islands,"1,178",,2,,"1,072",,104,,"23,994",41,"431,000","8,778,898","49,095"
203,204,Cayman Islands,853,,2,,781,,70,,"12,791",30,"136,206","2,042,528","66,685"
204,205,Diamond Princess,712,,13,,699,,0,,,,,,
205,206,Greenland,584,,,,504,,80,1,"10,265",,"76,491","1,344,471","56,893"
206,207,Wallis and Futuna,445,,7,,438,,0,,"40,480",637,"20,508","1,865,551","10,993"
207,208,Anguilla,425,,1,,393,,31,,"28,016",66,"42,919","2,829,202","15,170"
208,209,Macao,71,,,,64,,7,,108,,"4,896","7,414","660,377"
209,210,Falkland Islands,67,,,,63,,4,,"18,580",,"7,531","2,088,464","3,606"
210,211,Montserrat,34,,1,,31,,2,,"6,805",200,"1,408","281,825","4,996"
211,212,Saint Pierre Miquelon,31,,,,31,,0,,"5,383",,"8,671","1,505,643","5,759"
212,213,Vatican City,27,,,,27,,0,,"33,582",,,,804
213,214,Solomon Islands,20,,,,20,,0,,28,,"4,500","6,357","707,858"
214,215,Western Sahara,10,,1,,8,,1,,16,2,,,"615,626"
215,216,MS Zaandam,9,,2,,7,,0,,,,,,
216,217,Palau,5,,,,5,,0,,275,,"9,964","547,412","18,202"
217,218,Vanuatu,4,,1,,3,,0,,13,3,"23,000","72,765","316,084"
218,219,Marshall Islands,4,,,,4,,0,,67,,,,"59,689"
219,220,Samoa,3,,,,3,,0,,15,,,,"200,060"
220,221,Saint Helena,2,,,,2,,0,,328,,,,"6,100"
221,222,Micronesia,1,,,,1,,0,,9,,,,"116,528"
222,223,China,"96,203",+41,"4,636",,"90,677",+43,890,4,67,3,"160,000,000","111,163","1,439,323,776"
